,,,,STAT OVERVIEW,,,,,,,,,,,,,,,,,,SHOOTING,,,,,,,,,PASSING,,,,,PUCK CONTROL,,,,,DEFENSE,,,FACEOFFS,,,,,,,,,,,
Gamertag,Platform,Primary position,Record,Wins,Losses,Overtime losses,Games played,Goals,Assists,Points,Points per game,Shots,Passes,Hits,Giveaways,Takeaways,Interceptions,Blocks,Penalty minutes,plus minus,Goals per game,Scoring percentage,Shot Attempts,Missed Shots,Shots on net percentage,Powerplay goals,Shorthanded goals,Deflections,Assists per game,Pass attempts,Pass attempts per game,Passes per game,Passing percentage,Saucer passes,Saucer passes per game,Giveaways per game,Puck Possession per game,Penalties drawn,Hits per game,Interceptions per game,Takeaways per game,Blocks per game,Penalty Clears,Faceoffs won,Faceoffs lost,Faceoff percentage,Time on ice,Powerplay time on ice,Shorthanded time on ice,,,,,,
Username,Plat,Pos,Rec,WIN,LOSS,OTL,GP,G,A,PTS,PTS/GP,S,P,Hit,GA,TA,Int,Blk,PIM,+/-,G/GP,S%,SA,MS,SoN%,PPG,SHG,Defl,A/GP,PA,PA/GP,P/GP,P%,SP,SP/GP,GA/GP,PossMPG,PenDr,Hit/GP,Int/GP,TA/GP,Blk/GP,PKClr,FOW,FOL,FO%,TOI,PP TOI,SH TOI,EV TOI,SkEV TOI,EV S%,EVO,GAR,WAR
master collier,xbsx,C,10-7-2000,10,7,2000,17,38,34,72,4.2,109,198,77,171,55,90,13,10,-5,2.2,32.20%,118,9,91.99,0,0,8,2,283,16.65,11.65,71.02%,3,0.18,10.06,5.59,7,4.53,5.29,3.24,0.76,0,117,105,52.70%,983,14,7,999,58.76470588,31.54%,2.19,0.16,77.76%
jean gameboy,xbsx,D,15-7-1,15,7,1,23,9,63,72,3.1,56,519,81,126,88,201,30,20,27,0.4,11.40%,79,23,71.67,0,0,1,2.7,631,27.43,22.57,82.41%,1,0.04,5.48,4.64,5,3.52,8.74,3.83,1.3,0,0,0,0,1400,10,5,1365,59.34782609,11.27%,0.39,-1.57,64.44%
Spychopaht,xbsx,C,11-6-2001,11,6,2001,18,14,54,68,3.8,55,338,16,159,60,110,21,6,-22,0.8,20.30%,69,14,77.41,0,0,0,3,444,24.67,18.78,76.13%,0,0,8.83,4.85,6,0.89,6.11,3.33,1.17,0,15,28,34.88%,1021,12,6,1062,59,19.95%,0.76,-1.11,66.43%
Nate_Farms,ps5,D,6-12-2001,6,12,2001,19,13,55,68,3.6,57,432,75,171,86,165,18,20,-25,0.7,15.50%,84,27,70.39,0,0,0,2.9,530,27.89,22.74,82.26%,4,0.21,9,6.28,3,3.95,8.68,4.53,0.95,0,0,0,0,1092,6,3,1131,59.52631579,15.35%,0.68,-0.88,58.06%
ThxtKing-,ps5,C,9-4-2000,9,4,2000,13,29,39,68,5.2,89,222,52,146,43,88,13,2,34,2.2,26.10%,111,22,76.1,0,0,0,3,277,21.31,17.08,80.14%,0,0,11.23,8.34,6,4,6.77,3.31,1,0,19,19,50.00%,740,12,6,762,58.61538462,25.52%,2.18,0.38,78.56%
Itz_Nitro71-TTV,ps5,C,5-12-2001,5,12,2001,18,30,37,67,3.7,112,197,92,168,58,91,7,12,-41,1.7,20.80%,144,32,75.79,0,0,3,2.1,290,16.11,10.94,67.93%,0,0,9.33,4.67,5,5.11,5.06,3.22,0.39,0,172,175,49.57%,1027,10,5,1065,59.16666667,20.54%,1.64,-0.38,67.37%
BubbA-HasH-,ps5,LW,4-12-2001,4,12,2001,17,38,29,67,3.9,138,228,75,164,61,80,11,16,-29,2.2,23.30%,163,25,82.94,0,0,0,1.7,297,17.47,13.41,76.77%,0,0,9.65,5.73,1,4.41,4.71,3.59,0.65,0,0,0,0,979,2,1,1017,59.82352941,23.24%,2.23,0.23,62.30%
Silkysenko91,ps5,D,8-12-2000,8,12,2000,20,14,51,65,3.3,108,373,6,145,83,163,18,20,-23,0.7,9.50%,148,40,68.78,0,0,0,2.6,459,22.95,18.65,81.26%,0,0,7.25,5.44,6,0.3,8.15,4.15,0.9,0,0,0,0,1148,12,6,1182,59.1,9.32%,0.69,-1.17,56.76%
PSYCHO-_-CLOWN88,ps5,D,9-8-2001,9,8,2001,18,38,26,64,3.6,119,194,34,123,39,79,13,8,-6,2.1,24.10%,158,39,72.79,0,0,0,1.4,277,15.39,10.78,70.04%,0,0,6.83,3.67,3,1.89,4.39,2.17,0.72,0,0,0,0,1086,6,3,1071,59.5,23.85%,2.09,0.11,64.11%
C0FFEE T1ME,xbsx,D,2-19-2002,2,19,2002,23,15,45,60,2.6,80,556,84,164,84,153,51,8,-63,0.7,14.20%,106,26,70.5,0,0,0,2,672,29.22,24.17,82.74%,0,0,7.13,5.39,7,3.65,6.65,3.65,2.22,0,0,0,0,1350,14,7,1359,59.08695652,13.94%,0.64,-1.28,70.92%
